,category,Label,Category
115,Banks [Private] in Yangon,47,Finance
116,Banners & Flags in Yangon,39,Equipment & Supplies
117,Bar Coding Equipment & Systems in Yangon,59,Equipment & Supplies
118,Bars & Night Clubs in Yangon,74,Entertainment
119,Bathroom & Toilet Accessories in Yangon,67,Cosmetic
120,Batik in Yangon,83,Apparel
121,Batteries [Dry Cell] in Yangon,39,Equipment & Supplies
122,Batteries & Accessories Sales in Yangon,67,Equipment & Supplies
123,Batteries & Accessories Services in Yangon,69,Equipment & Supplies
124,Bean Curds [Manu/Dist] in Yangon,69,Food
125,Beans & Pulses in Yangon,53,Food
126,Beans & Pulses Processing Mills in Yangon,7,Manufacturing
127,Bearings in Yangon,70,Miscellaneous
128,Beauty Parlour Equipment & Supplies in Yangon,65,Beauty
129,Beauty Parlours in Yangon,90,Beauty
130,Beauty Schools in Yangon,27,Education
131,Beauty Spas [Foot/Body] in Yangon,39,Beauty
132,Bedroom Accessories in Yangon,22,Home
133,Belts in Yangon,69,Apparel
134,Betel Nuts & Assortments in Yangon,69,Food
135,Bicycle & Spare Parts in Yangon,8,Equipment & Supplies
136,Bicycle Repair in Yangon,18,Sales & Repair
137,Bill Services in Yangon,18,Service
138,Billiard & Snooker Halls in Yangon,24,Entertainment
139,Billiard Equipment & Accessories in Yangon,63,Media
140,Binoculars & Telescopes in Yangon,27,Equipment & Supplies
141,Bird's Nest Supplement Food in Yangon,22,Food
142,Biriani in Yangon,55,Food
143,Biriani Rice & Ingredients in Yangon,60,Food
144,Biscuits [Manu/Dist] in Yangon,44,Food
145,Blacksmiths in Yangon,58,Service
146,Blankets in Yangon,27,Home
147,Blood Bank & Donor Services in Yangon,24,Service
148,Boat & Ship Ticketing Services in Yangon,83,Travel
149,Boat Equipment & Accessories in Yangon,70,Marine
150,Boat Rentals in Yangon,56,Service
151,Boat Trips & Excursions in Yangon,41,Travel
152,Boilers & Accessories in Yangon,8,Equipment & Supplies
153,Bolts & Nuts in Yangon,41,Equipment & Supplies
154,Book Binders & Paper Cutting Services in Yangon,41,Service
155,Book Hires in Yangon,56,Service
156,Book Publishers & Distributors in Yangon,56,Service
157,Book Shops in Yangon,43,Entertainment
158,Booking Services [Online] in Yangon,56,Service
159,Bottle Caps & Seals in Yangon,56,Equipment & Supplies
160,Bottles [Empty] in Yangon,56,Equipment & Supplies
161,Bottles [Used] & Used Items in Yangon,16,Utility
162,Bowling in Yangon,56,Entertainment
163,Boxes & Cartons in Yangon,56,Equipment & Supplies
164,Brassieres & Blouses in Yangon,56,Apparel
165,Breads [Manu/Dist] in Yangon,56,Food
166,Brick/Lime/Sand/Gravel & Other Aggregates in Yangon,56,Construction
167,Bridal Dresses in Yangon,56,Apparel
168,Broadcasting Station Showrooms in Yangon,56,Media
169,Broadcasting Stations in Yangon,56,Media
170,Bronze & Iron Wares in Yangon,56,Equipment & Supplies
171,Brush Manufacturers in Yangon,56,Manufacturing
172,Buddha Statue & Others in Yangon,56,Religion
