contact,name,category,township,street,state
" 01641156, 0973097867, 0973157160",Moe Myint San,Tiles [Wall/Floor],Insein,"4/3 Shed, Rm A, Padamyar St., Sawbwargyi Gone Warehouses,",Yangon Region
" 0973021736, 09440440207, 095417784, 0943110312",Aung,Concrete Products,Insein,"241, Thiri Mingalar Rd., Ywar Ma (East) Ward,",Yangon Region
 092003604,Thit Sar,," Yan Kin Hill St. , Middle St.  ","Nan Shae, Yan Kin Hill St. , Middle St., Bukone Ward,",Patheingyi
" 01388872, 01246214, 0949299189, 095146476, 01388873 [Res]",Ar Mat [Haji] [Family],Interior Decoration Materials & Services,Pabedan,"40, 28th St., Lower Middle Block,",Yangon Region
" 01398110, 09420711170","Netpro Myanmar Co.,Ltd.",Systems Integrators,Kyauktada,"256, Pansoedan St., Upper Block,",Yangon Region
" 01540924, 01554770, 095320648",Lwin,Tiles [Wall/Floor],Tarmwe,"272, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,",Yangon Region
 01248053,"Myanmar DCR Co.,Ltd.",Computer Software Dealers,Pabedan,"608, Rm 11/E/F/C, 11th Flr, Merchant Rd., Bo Son Patt Tower,",Yangon Region
" 01249152, 01246634, 01395512, 01245762, 01395508~9, 012304156",MCC,Computer Software Dealers,Pabedan,"Bldg 3/4, C Shed, 3rd Flr, Thein Gyi Market,",Yangon Region
" 09421069219, 01594136",Maung Maung Than [U],Tiles [Wall/Floor],South Dagon,"719/720, Sittaung St., Industrial Zone (2),",Yangon Region
 095138437,Bo Bo Hein,Sewing Machines & Accessories,Pabedan,"Bldg 4, C Shed, Rm D, Thein Gyi Market,",Yangon Region
" 01210674 Ext207, 09799688925, 09799688921","Industrial Provision Myanmar Co.,Ltd.",Inverters,Lanmadaw,"790, Rm 2, 2nd Flr, Bogyoke Aung San Rd.,",Yangon Region
" 01655163, 09425286528, 09973252737",Kyaw Kyar Trading,Tiles [Wall/Floor],Insein,"95 Shed, Rm 2, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
" 09420121213, 09252815493",Aung Than [U] & Family,Timber Merchants,North Okkalapa ,"789,Ayeyar St.,Nya Ward",Yangon Region
,Royal Myint Soe,Tiles [Wall/Floor],Insein,"95 Shed,Rm 18/19,Shwe Wah St.,Sawbwargyi Gone Warehouses",Yangon
" 01642770, 09974404424",Sein Win,Tiles [Wall/Floor],Insein,"2 Shed, Rm 3/4, Pearl 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 09799696152, 01704659","Roma [Forever Agriculture & Livestock Development Co.,Ltd.]",Tiles [Wall/Floor],Insein,"116, Pyay Rd., Near 10 Mile Bus Stop, 10 Mile, Saw Bwar Gyi Gone Ward,",Yangon Region
" 01224464, 01224541, 01710380",Roman,Tiles [Wall/Floor],Thaketa,"238, Mya Khwar Nyo 3rd St., Industrial Zone,",Yangon Region
" 09254020360, 092348226",Pan Thu [Geological Service Co-operative Ltd.],Tiles [Wall/Floor],South Dagon,"337/338, Bago St., Industrial Zone (1),",Yangon Region
,Phyo Thiha Kyaw,Tiles [Wall/Floor],Insein,"Shwd 63 Shed,Rm 8,Kyauk Sein 2nd St.,Sawbwargyi Gone Warehouses",Yangon
 09250139937,"Nine River Co.,Ltd.",Tiles [Wall/Floor],North Okkalapa ,"Bldg E, Rm 47, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
" 01572341, 095008454, 018550362, 01572341",Aung Si,Timber Merchants,South Okkalapa ,"103, Set Hmu 3rd St., Industrial Zone,",Yangon Region
" 0973237142, 0973237142",Aung San [Ko],Timber Merchants,Thaketa,"525/B, Myin Taw Thar Rd., Ward (4-South),",Yangon Region
" 095009713, 09450065174, 019691297",Aung Setkyar,Timber Merchants,North Okkalapa ,"531, Theingi St., Sa Lone Ward,",Yangon Region
" 095051343, 095070023",Aung Pyae Sone,Timber Merchants,South Dagon,"749/A, Kyan Sit Thar Rd., Ward (72),",Yangon Region
 09254083101,Aung Myo Naing [U],Timber Merchants,South Dagon,"1558/B,Hlaw Gar Rd.,Ward (107)",Yangon Region
" 0973207042, 0932755424",Miba Gone,Threads,Pabedan,"A Shed, Rm 267, Thein Gyi Market,",Yangon Region
 095183404,Aung Myittar,Timber Merchants,South Dagon,"41, Hlaw Gar Rd., Ward (105),",Yangon Region
" 0973201962, 01370622 Ext.424, 01376334",Mingalar,Threads,Pabedan,"B Shed, Rm 347, Thein Gyi Market,",Yangon Region
" 095079539, 0973201531, 09791555587",Aung Myat [U],Timber Merchants,South Dagon,"153, Taung Khwin Min Gyi St., East Dagon Industrial Zone (2),",Yangon Region
" 0973116729, 09450000587",Pyay Taw Moe,Tiles [Wall/Floor],Kamayut,"82, Baho Rd., Ward (3),",Yangon Region
" 01642388, 01641818, 01644563",Shwe Myittar Mon,Tiles [Wall/Floor],Insein,"32 Shed, Rm 7/8/9, Kyauk Sein 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 01642122, 09420004229, 0943042992, 09799969051, 09799969041",Soe San Thar,Tiles [Wall/Floor],Insein,"32 Shed, Rm 5, Padamyar 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 0930177788, 09795633385",Shwe Lar Ngwe Lar,Tiles [Wall/Floor],North Dagon,"Rm 29, Pin Lon Rd., YCDC Shop Room, Ward (33),",Yangon Region
" 01536597, 0973059711, 0973136533",Shwe Kabar,Tiles [Wall/Floor],Hlaing,"121/A,58th St.,Ward (7)",Yangon
" 09420020068, 0973089888, 0973388889, 095177745, 09450053861",Royal Lin,Tiles [Wall/Floor],Insein,"677, Pyay Rd., Near 10 Mile, Saw Bwar Gyi Gone Ward,",Yangon Region
" 09785170558, 095170558",Shwe Gabar,Tiles [Wall/Floor],Mingalardon,"534/Ka Gyi, Zaw Ti Ka St., Thingangyun Gyi Ward,",Yangon Region
" 01566491, 018550534, 09975121158, 095121158",Shwe Eain San,Tiles [Wall/Floor],South Okkalapa ,"1267, Yadanar Rd., Corner of Daywaha St.,Ward (13),",Yangon Region
" 01640037, 01710098, 01644505, 01643803, 09965035930",Shwe Family,Tiles [Wall/Floor],Insein,"30 Shed, Rm 1, Kyauk Sein 6th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 01642942, 01642122, 095320948, 09255858518",Sein Win [2],Tiles [Wall/Floor],Insein,"15 Shed, Rm 3, Padamyar 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 01376127, 0973237723, 01240600 Ext.4454",Aung Kaung,Yarn,Latha,"D Shed, Rm C/131/132/133, G Flr, Thein Gyi Market,",Yangon Region
" 018550366, 095018452",Aung Thukha,Timber Merchants,South Okkalapa ,"124/125, Set Hmu 2nd St., Industrial Zone,",Yangon Region
" 01524343, 09420078804",Aung Thu Hein,Timber Merchants,Kyeemyin Daing,"56, Nat Sin St., Ma Gyee Dan (North-East) Ward,",Yangon Region
" 01642122, 01640021, 01640001, 095124396, 09450011478",Shwe Nadi,Tiles [Wall/Floor],Insein,"8/2 Shed, Rm G, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
" 095130889, 01553226",Aung Thitsar,Timber Merchants,Thaketa,"417, Shukhin Thar Rd., Near Dhamar Yone Bus Stop, Ward (7-East),",Yangon Region
" 095129805, 0973191198, 095192773",Aung Par Say,Timber Merchants,South Okkalapa ,"Rm 005, Waiza Yan Tar Rd., Industrial Zone,",Yangon Region
" 09420233000, 09421017567, 0973085106",Aung Thitsar,Timber Merchants,South Dagon,"25, Hlaw Gar Rd., Ward (56),",Yangon Region
 09784596039,Aung Thiha,Timber Merchants,Hlaing Thar Yar,"107/A, Sagaing St., Ward (10),",Yangon Region
" 01511495, 01524390",Aung Thein,Timber Merchants,Kyeemyin Daing,"30, Salin St., Corner of Nat Sin St.,Thar Du (West) Ward,",Yangon Region
 09254614339,Aung Theiddi,Timber Merchants,South Okkalapa ,"Set Hmu 6th St.,Industrial Zone",Yangon Region
 01573155,Aung Thitsar,Timber Merchants,Thingangyun,"1/C,Strand St.,Thuwana/29 Ward",Yangon Region
" 0973125982, 095126839",Aung Thitsar,Timber Merchants,South Dagon,"2963, Set Hmu Zone Pat St., Industrial Zone (2),",Yangon Region
" 01614130, 01614131, 01614132",Shwe Myittar,Tiles [Wall/Floor],Shwe Pyi Thar,"88/89, Set Hmu Zone Rd., Industrial Zone (1),",Yangon Region
" 09974411877, 09972802596",Yangon Woolen & Ribben Industrial Limited,Threads,Hlaing Thar Yar,"50, Min Ye Kyaw Swar St., Shwe Linban Industrial Zone,",Yangon Region
" 01371800 Ext.375, 095404566",555,Yarn,Pabedan,"Bldg 3, C Shed, Rm 18, Thein Gyi Market,",Yangon Region
" 01222698, 0943033588, 09450053861, 012585246, 095016886, 095013136",Sein Ayeyar,Tiles [Wall/Floor],East Dagon,"49, Kyan Sit Thar Rd., Ward (109),",Yangon Region
" 01685726, 09250295788, 09250222658, 09250236786","Top Direction Industry Co.,Ltd.",Threads,Hlaing Thar Yar,"92, Pyin Si Min Thar Gyi St., Industrial Zone (4),",Yangon Region
 09250039971,Aung Myo Myint [Ko],Timber Merchants,Hlaing Thar Yar,"24/A, Mandalay St., Ward (14),",Yangon Region
" 01371800 Ext.375, 095404566",555,Yarn,Pabedan,"B Shed, Rm 342, Thein Gyi Market,",Yangon Region
