name,street,contact,state,township,Category
"Pakokku Aung Myint Mo Trading Co.,Ltd.","F/15-A, Ngu War St., Bayint Naung Warehouses,"," 01681168, 09793681168",Yangon Region,Mayangone,Service
"Lin Win Co.,Ltd.","8/9, Kanaung Min Thar Gyi Rd., Industrial Zone,", 01592308,Yangon Region,Dagon Seikkan,Service
"ASO Co.,Ltd.","A/92, Naung Yoe St., Bayint Naung Warehouses,"," 09790640633, 09780002765",Yangon Region,Mayangone,Service
"Myanmar Win Star Int'l Mfg Co.,Ltd.","68, 7th St., Yangon Industrial Zone,"," 09450035022, 01639390",Yangon Region,Mingalardon,Service
"Myanmar Teak Wood Industries Co.,Ltd.","171~174, Strand Rd., Industrial Zone,"," 01592245, 01592246, 01592318",Yangon Region,Dagon Seikkan,Service
"Moe Mya Chai Co.,Ltd.","2, Min Nandar Rd., Beside Yangon Eastern District Law Office, Set Hmu Let Hmu Ward,"," 0973056680, 09972533758, 0932063009~11",Yangon Region,Thaketa,Service
Nagar Ni,"42/113, Kha Yae St., Industrial Zone (1),", 09253179183,Yangon Region,Shwe Pyi Thar,Service
"New Telesonic Trading Co.,Ltd.","94, Than Chet Wun U Nyunt St., Industrial Zone,"," 09420146742, 095010298, 01254201",Yangon Region,Dagon Seikkan,Service
"Pro Myanmar Trading Co.,Ltd.","54, Hla Theingi St., Industrial Zone,"," 09788104309, 09782118002",Yangon Region,Dagon Seikkan,Service
"Paung Laung Wood Enterprise Co.,Ltd.","Bldg 2,Rm 21/22,1st Flr,Pyay Rd.,Myo Pya Housing (North)"," 01656306, 01661342, 01665431",Yangon Region,Mayangone,Service
"Sein Than Oo Trading Co.,Ltd.","Bldg A/5, Rm 701, 7th Flr, Min Dhama Rd., Shwe Kabar Housing,", 01656673~6,Yangon Region,Mayangone,Service
"Win Int'l Co.,Ltd. [Zabu Hlwan Co.,Ltd.]","6, Pyay Rd., 6 Mile, Ward (10),"," 01500894, 01507031, 01507032, 01507076",Yangon Region,Hlaing,Service
"Tropical Woods Co.,Ltd. [Alkemal Group Company]","107/108, Makhayar Min Thar Gyi St., Industrial Zone,", 09254810644,Yangon Region,Dagon Seikkan,Service
"Myat Mon Yadanar Co.,Ltd.","E/42-B, 1st Flr, Ngu War St., Bayint Naung Warehouses,"," 01680107, 095007117, 095007119",Yangon Region,Mayangone,Service
"Ayar Thukha San Pluses & Beans Trading Co.,Ltd.","B/4, Naung Yoe St., Bayint Naung Warehouses,"," 095135721, 095131727, 019688916~8, 098581642, 098580807",Yangon Region,Mayangone,Service
"Shwe Manaw Myay Trading Co.,Ltd.","G/45, 1st Flr, Padauk St., Bayint Naung Warehouses,"," 01680719, 01680763, 09450003990, 09450028867, 09970706688",Yangon Region,Mayangone,Service
"Kaung Su Aung Co.,Ltd.","63, Pan Hlaing Golf St., Industrial Zone (1),"," 01684231, 01684235, 095106231",Yangon Region,Hlaing Thar Yar,Service
"Asia Trade Master Co.,Ltd.","I/28, 1st Flr, Khattar St., Bayint Naung Warehouses,"," 01680223, 095208420, 01682707",Yangon Region,Mayangone,Service
Asia Trade House Ltd.,"I/28, 1st Flr, Khattar St., Bayint Naung Warehouses,"," 01680223, 095208420, 01682707",Yangon Region,Mayangone,Service
"Great Value Co.,Ltd.","F/44, Sein Pan St., Bayint Naung Warehouses,"," 01682246, 095009577, 01686131, 01682630, 0973185577",Yangon Region,Mayangone,Service
"Bright Light Co.,Ltd.","F/44, Sein Pan St., Bayint Naung Warehouses,"," 01682246, 01686131, 01682630, 0973185577, 095009577",Yangon Region,Mayangone,Service
"Pyae Thitsar Aung Trading Co.,Ltd.","902, Pin Lon Rd., Ward (34),"," 09425277975, 09250077697",Yangon Region,North Dagon,Service
"Glory Success Co.,Ltd.","128,Kin Wun Min Gyi St.,Industrial Zone (4)",,Yangon Region,Hlaing Thar Yar,Service
R.K Brothers,"165, Sabei St., Industrial Zone (5),", 09421016101,Yangon Region,Hlaing Thar Yar,Service
