contact,name,township,street,state,Category
 0943196128,Tun,South Okkalapa ,"169, Thuta 5th St., Ward (4),",Yangon Region,Manufacturing
,Tun,Hlaing Thar Yar,"128,Saya San St.,Industrial Zone (2)",Yangon Region,Manufacturing
" 0930068579, 09253239906, 01555604, 01570650 [Res], 01548062 [Res]",Venus Slipper,Thingangyun,"9, Kyoe Set Yon St., Thuwunna, (Kha) Ward,",Yangon Region,Manufacturing
 0931275079,Than Myo Aung [Ko],North Okkalapa ,"1112, Waziyar 9th St., Nga Ward,",Yangon Region,Manufacturing
 01684745,"Success Time Int'l Co.,Ltd.",Hlaing Thar Yar,"246, Myin Wun U Aung Thu St., Industrial Zone (2),",Yangon Region,Manufacturing
 09250717125,Thein Htet [Ko],Hlaing Thar Yar,"Bldg A, Rm 3, Kyan Sit Thar St., Htee Hlaing Shin Housing, Ward (8),",Yangon Region,Manufacturing
" 01684538, 01684648, 01700569, 01685643, 01685642","Tai Yi Int'l Co.,Ltd.",Hlaing Thar Yar,"79/82, Phan Chet Wun U Shwe Oh St., Industrial Zone (3),",Yangon Region,Manufacturing
" 0973078566, 09255959597",Soe Pyar,Dagon Seikkan,"76/A, Mya Taung Wun Gyi U Hmo St., Industrial Zone,",Yangon Region,Manufacturing
" 019699197, 019699220 [Res]",Soe General Trading,North Okkalapa ,"1109, Thudhamar Rd., Ta Ta Lin Cheik Ward,",Yangon Region,Manufacturing
" 0973179371, 09795977900","Tian Yu Int'l Co.,Ltd.",Hlaing Thar Yar,"494, Padauk St., Ward (23),",Yangon Region,Manufacturing
" 0973211630, 09251054895",Zaw Zaw Aung [U],North Okkalapa ,"1115, Waziyar 9th St., Nga Ward,",Yangon Region,Manufacturing
" 095331285, 01642690, 01644840, 09420089173","Yu Wa Co.,Ltd.",Insein,"19/20/B, Thiri Mingalar 15th St., Ywar Ma (East) Ward,",Yangon Region,Manufacturing
 01685859,"Yunn Rong Shoes Co.,Ltd.",Hlaing Thar Yar,"138, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone (2),",Yangon Region,Manufacturing
" 09421066018, 09420190719",Win Kyaw [Ko],East Dagon,"197, Bo Tar Yar St., Ward (12),",Yangon Region,Manufacturing
" 09790922339, 09440175817",Yoon,East Dagon,"524, Yaw Ah Twin Wun U Phoe Hlaing 4th St., Ward (108),",Yangon Region,Manufacturing
 0933476666,"Yimei Footwear Products Co.,Ltd.",Hlaing Thar Yar,"10, U Shwe Ohe Lane (1), Industrial Zone (2),",Yangon Region,Manufacturing
 0970892373,"Vince Myanmar Co.,Ltd.",South Dagon,"No.(2) Main Rd., Ah Aye Kan Bus Stop, Thone Khwa San Pya Ward,",Yangon Region,Manufacturing
" 01590556, 01590557, 09421066227, 0973164615, 098620712, 09250732214, 098620712",Golden Myint,South Dagon,"215~218, Sittway St., Industrial Zone (1),",Yangon Region,Manufacturing
" 018564955, 018566231",Shoe Gallery,Thingangyun,"4 / Ka, Thayet Taw St.,",Yangon Region,Apparel
" 095027974, 0949229116",Khit Htate Tan,Mingalar Taung Nyunt,"54, 2nd Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 018564955, 018566231",Shoe Gallery,Thingangyun,"4 / Ka, Thayet Taw St.,",Yangon Region,Apparel
,Khing Khing,North Dagon,"470, Kyauk Sein St., Ward (33),",Yangon Region,Apparel
" 0973022216, 09773022216, 09254492544",Mya Kyar Khaing,North Okkalapa ,"Ta Ta Lin Cheik/171, Kyoe Tadar St., Ta Ta Lin Cheik Ward,",Yangon Region,Apparel
" 095132287, 09965132287, 095049934",Ingyin Sein,Mingalar Taung Nyunt,"16, Pathein Nyunt 9th St., Pathein Nyunt Ward,",Yangon Region,Apparel
" 09420066724, 09976896111",Shwe Kabar,Mingalar Taung Nyunt,"268, 2nd Flr,  Shwe Mingalar Market,",Yangon Region,Apparel
" 095075121, 019688518",Thaw Tar,Hlaing,"3/4, Ga Gyi Shed,  Thiri Mingalar Market,",Yangon Region,Apparel
 09421066227,Shwe Myint,South Dagon,"16, Myit Kyee Nar St., Industrial Zone (1),",Yangon Region,Apparel
" 09975656569, 018619457, 019000796",Thai Fashion,Tarmwe,"41, 136th St., Ma U Gone Ward,",Yangon Region,Apparel
" 09250370445, 09773773783",Mya Thandar,Mingalar Taung Nyunt,"112-113, 2nd Flr, Shwe Mingalar Market,  Car Pat Lan,",Yangon Region,Apparel
 01530270,Shwe Yin Mar,Kamayut,"52, Hledan Rd.,",Yangon Region,Apparel
" 09797966655, 0973028053",Super Seven Star [SSS],North Okkalapa ,"921, Ayeyar 6th St., Za Myin Zwel Ward,",Yangon Region,Apparel
" 09421057480, 09799593453",Royal Rose,Yankin,"Rm 4, Bldg 216, Yan Shin St.,",Yangon Region,Apparel
" 0949250219, 01708429",Myint Mar Lar,Latha,"28, 24th St., Thein Gyi Market,",Yangon Region,Apparel
,Nay Chi Oo,South Okkalapa ,"291, Parami Rd., Ward (4),",Yangon Region,Apparel
 09450375632,"New Comfort Co., Ltd.",Hlaing Thar Yar,"58, Min Gyi Maha Min Khaung St.,  Shwe Linban Industrial Zone,",Yangon Region,Apparel
" 09420138564, 09420077930",169,Shwe Pyi Thar,"1094/B, Thar Si St., Ward (10),",Yangon Region,Apparel
" 01581604, 098634670, 09420066724",Ah Sone Ah San,Mingalar Taung Nyunt,"Rm 582/583,2nd Flr,Mingalar Market",Yangon Region,Apparel
" 0931648578, 09974236149",Ah Shay Gyi [Ko],Insein,"24/Ma, Min Kun Kyaung St., Taung Thu Gone Ward,",Yangon Region,Apparel
" 095074669, 0973010808",Ah Nyar Myay,North Okkalapa ,"218, May Darwi Rd., Za Gwel Ward,",Yangon Region,Apparel
" 0973107398, 01526156, 01210680 [Res]",A 1,Kyeemyin Daing,"73/A, Bo Thura St., Corner of Ohn Pin St.,Zay Gyi (West) Ward,",Yangon Region,Apparel
" 095503392, 0973017754",A & S,Hlaing,"37/B, Butar Yon St., Ward (1),",Yangon Region,Apparel
 09421102971,567,Mayangone,"232/233, Thamaing Butar Yon Rd., Ward (2),",Yangon Region,Apparel
" 095170701, 0973014734",5 Star,North Dagon,"129,Maha Bandoola Rd.,Ward (29)",Yangon Region,Apparel
 09975374426,7 Star,Hlaing Thar Yar,"Kyan Sit Thar St.,Near Zay Lay Bus Stop,Ward (26)",Yangon Region,Apparel
" 0973128718, 09795738678",999,Shwe Pyi Thar,"480/B, Maha Myaing St., Ward (9),",Yangon Region,Apparel
" 01290392, 0973034731, 0973135747",A One,Tarmwe,"29, 136th St., Ma U Gone Ward,",Yangon Region,Apparel
" 0973089102, 09450033783",Akari San,North Dagon,"619, Min Ye Kyaw Swar Rd., Ward (44),",Yangon Region,Apparel
 09420109810,Akari Hnin,Mingalar Taung Nyunt,"Rm 285, Shwe Mingalar Market, Car Pat Lan,",Yangon Region,Apparel
 09421006312,Akari,South Dagon,"121,Hlaw Gar Rd.,Near Thit Sar Bus Stop,Ward (21)",Yangon Region,Apparel
 09262203433,Alana TM,Kamayut,"2nd Flr,Hledan Centre",Yangon Region,Apparel
 01222693,Alladin,Lanmadaw,"284, Anawrahta Rd.,",Yangon Region,Apparel
" 0943153973, 0973005540",Ah Thae Lay,North Dagon,"12, Pin Lon Rd., Corner of Maha Bandoola Rd.,Ward (30),",Yangon Region,Apparel
 09789223162,Ah Yar Taw,Hlaing Thar Yar,"570, Dhama Yadanar St., Ward (6),",Yangon Region,Apparel
" 09250083520, 09252648972",Ah Sone Ah San,Mingalar Taung Nyunt,"Rm 619, Yar Yee Mingalar Market,",Yangon Region,Apparel
" 092016723, 09402791027",Amara Khin,Kamayut,"Rm C/022, G Flr, Junction Square,",Yangon Region,Apparel
" 01581604, 09420066724, 098634670",Ah Sone Ah San,Mingalar Taung Nyunt,"Rm 132/133,2nd Flr,Mingalar Market",Yangon Region,Apparel
" 095501697, 09250666136",Arr Thit,Mingalar Taung Nyunt,"Rm 3/4/5,2nd Flr,Mingalar Market",Yangon Region,Apparel
 09795259115,Asian,Thingangyun,"42, Mingalar St., (Kha) Ward,",Yangon Region,Apparel
" 095501697, 09250666136",Arr Thit,Tarmwe,"44, 137th St., Ma U Gone Ward,",Yangon Region,Apparel
 095070785,Asia,Thingangyun,"Mingalar St., Corner of Pyi Daw Thar St., (Kha) Ward,",Yangon Region,Apparel
 095418899,Athena,Tarmwe,"2nd Flr, United Living Mall,",Yangon Region,Apparel
" 0973084126, 09795686906",Angel,Mingalar Taung Nyunt,"Rm K-18, G Flr, Yuzana Plaza,",Yangon Region,Apparel
 09421084253,April,North Dagon,"Bldg 1, Rm 1, Baho St., Taw Win Housing,",Yangon Region,Apparel
" 09250149042, 095164181, 095149868",AMT,Dagon,"Rm 2176, 1st Flr, Taw Win Centre,",Yangon Region,Apparel
 09423754962,Angel,South Dagon,"214,Kyauk Sein Myat Yadanar St.,Ward (56)",Yangon Region,Apparel
" 092016723, 09402791027",Amara Khin,Mayangone,"1st Flr, Junction 8 Shopping Centre,",Yangon Region,Apparel
 0973012575,Aung Myint Kyu [U],South Dagon,"213/A, Si Pin Rd., Near (18) Curve, Ward (18),",Yangon Region,Apparel
 0973115667,Aung Myint Moh,Mingalar Taung Nyunt,"Rm 148,2nd Flr,Mingalar Market",Yangon Region,Apparel
 01590136,Aung Htet Kyaw,Mingalar Taung Nyunt,"Rm 481,2nd Flr,Mingalar Market",Yangon Region,Apparel
" 09420058255, 0973084330",Aung Ko Htike [Ko],Hlaing Thar Yar,"537, Mahaw Gani St., Kyan Sit Thar Housing,",Yangon Region,Apparel
" 09253246404, 0973059234",Aung Chan Thar,Insein,"Hlaing River Rd.,Near Fire Station,Zay Gone (West) Ward",Yangon Region,Apparel
 09448019476,Aung Chan Thar,Mingalar Taung Nyunt,"55, 2nd Flr, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
 09799811047,Aung Bo Tun,Shwe Pyi Thar,"Pyi Daw Thar St., Corner of Bayint Naung Rd., Ward (10),",Yangon Region,Apparel
 0973064923,Aung,North Okkalapa ,"148, Mya Yadanar St., Kha Ward,",Yangon Region,Apparel
 09448019476,Aung Chan Thar,Mingalar Taung Nyunt,"Rm 138,2nd Flr,Mingalar Market",Yangon Region,Apparel
 09970205567,Aung,Thingangyun,"Rm 289/290, 1st Flr, San Pya Market,",Yangon Region,Apparel
 0973065500,Aung Thapyay,Thaketa,"Aung Tha Pyay St., Corner of Aung Tha Pyay 9th St., Ward (7-East),",Yangon Region,Apparel
" 01241832, 01252882, 01384611, 095159580, 01299660 [Res], 01398883, 095111407",Aung Soe [Ko] + Hla Hla Win [Ma],Pabedan,"187, 29th St., Upper Block,",Yangon Region,Apparel
 09457110793,Aung Pyae Sone,Hlaing Thar Yar,"550, Bahosi St., Ward (19),",Yangon Region,Apparel
" 095068269, 0973160525, 018610136",Aung Pann,Pazundaung,"C Shed, Rm 16, Pazundaung Market,",Yangon Region,Apparel
" 09776321776, 09776321775",Aung Nan Taw,South Dagon,"947, Maha Bandoola St., Ward (104),",Yangon Region,Apparel
 09420058423,Aung Pan,South Dagon,"154, Ngwe Kyar Yan St., Ward (53),",Yangon Region,Apparel
" 095164181, 09250149042, 095149868, 0931958511",Aung Myint Thein,Pabedan,"Inner Face Wing Shed, Rm 59, Bogyoke Aung San Market,",Yangon Region,Apparel
 09783707001,Aung Tagon,Insein,"26, Kwet Thit 2nd St., Corner of Bayint Naung Rd.,Kwet Thit Ward,",Yangon Region,Apparel
 09264808075,Aung Soe [U],North Dagon,"560, Duya St., Ward (49),",Yangon Region,Apparel
 09422521095,Aung Sann Win [U],Hlaing Thar Yar,"451, Shwe Yin Aye Zay St., Ward (18),",Yangon Region,Apparel
" 095261304, 0949335121, 0943049843",Aye Chan,Bahan,"136, U Chit Maung Rd., Saya San (North-East) Ward,",Yangon Region,Apparel
" 0973063649, 09790882261",Aye Aye Myat [Ma],Mingalardon,"12, Myittar St., Kyan Khin Su Ward,",Yangon Region,Apparel
" 095132697, 01571182",Aye Aye Maw [Ma],Thingangyun,"249/5, Kyaung St., Thuwana/25 Ward,",Yangon Region,Apparel
 0931081374,Aye Aye Lwin [Ma],Shwe Pyi Thar,"Maha Bandoola St.,Near Shwe Pyi Tan Market,Ward (16)",Yangon Region,Apparel
 095094802,Aung Zabu,Mingalardon,"Rm 4, Kha Yae Pin Rd., U.S.D.A Office Shop Room, (2/Ka) Ward,",Yangon Region,Apparel
 0973059237,Aung Thukha,Insein,"145, Bayint Naung Rd., Corner of Seikta Thukha St.,Pauk Taw Ward,",Yangon Region,Apparel
 09421722410,Aye Chan,North Okkalapa ,"528, May Darwi Rd., Ga Nge Ward,",Yangon Region,Apparel
" 09421107868, 09420099372",Aye Aye Khaing [Ma],South Okkalapa ,"223, Min Ye Kyaw Swar 3rd St., Ward (7),",Yangon Region,Apparel
 09442313940,Aung Thapyay Mingalar,North Dagon,"1422, Bayint Naung Rd., Ward (49),",Yangon Region,Apparel
 095061078,Aww Zar Aung [U],South Okkalapa ,"742, Sagaing 25th St., Ward (5),",Yangon Region,Apparel
" 01242775 Ext.2241, 095194249, 09420093073",Bae Lay,Latha,"Rm 18, G Flr, D Shed, 24th St., Thein Gyi Market, Ward (8),",Yangon Region,Apparel
 095112846,Banani,Tarmwe,"2nd Flr, United Living Mall,",Yangon Region,Apparel
" 09254064146, 09251039059",Aye Tin [Daw],Bahan,"Bldg 10, Rm 5, Kaba Aye Pagoda Rd., Shwe Gon Yeikmon Housing,",Yangon Region,Apparel
 09421099423,Baby World,Hlaing Thar Yar,"673, Chaung Thar St., Ward (14),",Yangon Region,Apparel
 09450015894,Aye Myint [U],Insein,"606, Min Zedi St., Ywar Ma (West) Ward,",Yangon Region,Apparel
" 0973014900, 0943088148",Aye Yadanar,East Dagon,"19/B, Nga Htwai Yue St., Ward (7),",Yangon Region,Apparel
 09450018469,Aye Chan Thar,Hlaing Thar Yar,"20/A, Bo Aung Kyaw St., Near Mee Khwet Market, Ward (7),",Yangon Region,Apparel
" 09260360281, 09799730137",Baby,Shwe Pyi Thar,"Rm 5, Bayint Naung Rd., Ward (5),",Yangon Region,Apparel
 09942480114,Aye Lei Win [Ma],North Dagon,"344, Maha Bandoola Rd., Ward (47),",Yangon Region,Apparel
 09250436832,C.K,Tarmwe,"317, Kyaikkasan Rd., Tarmway Gyee (Ka/Ga-Nge) Ward,",Yangon Region,Apparel
" 01206350, 095069436",AZM,Tarmwe,"8, G Flr, 136th St., Ma U Gone Ward,",Yangon Region,Apparel
 09777700785,Bo Bo,Kamayut,"59, 50ft St., Ward (3),",Yangon Region,Apparel
 09250646279,Big Bird,Hlaing,"19/5, Oakkyin Butar Yon St., Ward (13),",Yangon Region,Apparel
 0930054963,"Bata [3T Co.,Ltd.]",Bahan,"1st Flr, Ocean Super Center,",Yangon Region,Apparel
" 01212395, 09421092922",Bravo,Ahlone,"20/A, Thit Taw St., Saw Yan Paing (West) Ward,",Yangon Region,Apparel
 0973008978,Bandar,Hlaing,"Rm 3, Butar Yon St., Infront Of B.E.H.S (1), Ward (6),",Yangon Region,Apparel
 018010211,Bay Gon [Daw],East Dagon,"592, Paw Oo 5th St., Ward (12),",Yangon Region,Apparel
" 095070498, 0973061507",Barani,Shwe Pyi Thar,"766/A, Bayint Naung Rd., Ward (11),",Yangon Region,Apparel
 09979882663,Billionaire [Thu Htay Min],Dagon,"Rm B/33, Underground, Myanmar Culture Valley, People's Park Compound, Pyay (East) Ward,",Yangon Region,Apparel
 01522638,Banani,Hlaing,"Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Yangon Region,Apparel
 0943050123,Cherry [Ma],Thingangyun,"23,Loot Latt Yay St.,(Ga-Gyi) Ward",Yangon Region,Apparel
" 09420245419, 09402649755",Cherry Oo,Mingalardon,"6, Thu Ti St., Htauk Kyant, San Pya (Pa Hta Ma) Ward,",Yangon Region,Apparel
 09420038399,Chaw Thuzar,Mingalar Taung Nyunt,"Rm 375, Shwe Mingalar Market, Car Pat Lan,",Yangon Region,Apparel
" 098634935, 09788336749, 09791993910",Chan Myae San,Insein,"1st Flr,Yan Gyi Aung St.,Saw Bwar Gyi Gone Ward",Yangon Region,Apparel
" 095111381, 0973010434, 019699256",Chaw Chaw,North Okkalapa ,"581, May Darwi Rd., Za Myin Zwel Ward,",Yangon Region,Apparel
 0973047782,Chaw Chaw [Daw],South Okkalapa ,"400, Mya Lay St., Ward (14/1),",Yangon Region,Apparel
 09254118346,Chal [Daw],East Dagon,"1051, Maw Ya Waddy St., Ward (133),",Yangon Region,Apparel
 0931259470,Car Wheel,Tarmwe,"130, Rm 10, Thamain Bayan Rd., Tarmway Gyee (Kha) Ward,",Yangon Region,Apparel
 01253455,Camel,Pabedan,"WestB Shed, Rm 5/6, Bogyoke Aung San Market,",Yangon Region,Apparel
 01500998,Caesar,Pabedan,"Face Wing Shed, Rm 8, 1st Flr, Bogyoke Aung San Market,",Yangon Region,Apparel
 09421108565,Cho Mar [Ma],Hlaing,"Ga Gyi Shed, Rm 125, Thiri Mingalar Market,",Yangon Region,Apparel
 09420308858,Chit Snow,Shwe Pyi Thar,"1036, Pearl St., Corner of Ngu Wah St., Ward (10),",Yangon Region,Apparel
" 0973038233, 09260509998",Chin Twin,Mingalar Taung Nyunt,"Rm 397, Shwe Mingalar Market, Car Pat Lan,",Yangon Region,Apparel
" 095025423, 0973038233, 09250656441",Chin Twin,Mingalar Taung Nyunt,"Rm 87/111,2nd Flr,Mingalar Market",Yangon Region,Apparel
 0943024488,Chilli,Lanmadaw,"50, 2nd Flr, Maha Bandoola Rd., China Town Point Tower,",Yangon Region,Apparel
" 01386411, 09448009101",Chit Tin [U] [Nyein Chan Yay],Pabedan,"241, 30th St., Upper Block,",Yangon Region,Apparel
 0943085448,Cho Cho Khaing [Daw],Mingalardon,"34/B, Thazin St., Htauk Kyant Zay Ward,",Yangon Region,Apparel
" 0943024488, 01392031 Ext.208, 01392031 Ext.209",Chilli,Botahtaung,"G Flr,Gamone Pwint Shopping Mall",Yangon Region,Apparel
" 0943024488, 095312565",Chilli,Mayangone,"G Flr, Gamone Pwint Shopping Mall,",Yangon Region,Apparel
" 0933183746, 09975571583, 092305317",Cupid,Kamayut,"8/A, Hledan 2nd St., Ward (3),",Yangon Region,Apparel
" 0931056354, 095182538",Cupid,Kamayut,"Rm S/223, 2nd Flr, Junction Square,",Yangon Region,Apparel
,Cindrella,Mingalar Taung Nyunt,"Rm T-14,3rd Flr,Yuzana Plaza",Yangon Region,Apparel
" 01540635, 0949264687",Crazy,Tarmwe,"6, Innwa St., Kyauk Myaung Gyi Ward,",Yangon Region,Apparel
 01611815,Cho [Ma],Shwe Pyi Thar,"305, Zay St., Zee Kone Ward,",Yangon Region,Apparel
" 09420116485, 09420096747",CSK,Mingalar Taung Nyunt,"Rm 653, Yar Yee Mingalar Market,",Yangon Region,Apparel
" 09420116465, 09420046747, 0931235346",CSK [Chay Satkyar],Mingalar Taung Nyunt,"Rm 55/56,2nd Flr,Mingalar Market",Yangon Region,Apparel
 09421086969,Cho Nwet,Hlaing Thar Yar,"556/B, Anawrahta Rd., Ward (20),",Yangon Region,Apparel
 095410943,Duwun,Mingalar Taung Nyunt,"Rm 544/545,2nd Flr,Mingalar Market",Yangon Region,Apparel
" 01522640, 0943024488 [Office]",Chilli,Hlaing,"Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Yangon Region,Apparel
" 095165060, 0973032556",Crazy,Bahan,"513/307/309/313, Myoe Patt (West) St., Saya San (South) Ward,",Yangon Region,Apparel
" 018500176, 095158100, 09786054984",Dolphin,South Okkalapa ,"252/10, Moe Swe St., Shwe Pyi Soe Housing,",Yangon Region,Apparel
" 095158100, 018500176, 09799838352",Dolphin,Pabedan,"179, 29th St., Upper Block,",Yangon Region,Apparel
 09448002295,Design,South Dagon,"135, Si Pin Rd., Ward (18),",Yangon Region,Apparel
" 095028016, 01570210 [Res]",Cyc + Empire,Pabedan,"West A Shed, Rm 442/443, Bogyoke Aung San Market,",Yangon Region,Apparel
" 09250366818, 09254274209",Dolphin,North Okkalapa ,"191, Thu Nandar 12th St., Sa Lein Ward,",Yangon Region,Apparel
 09450039708,Dar Hna Let,Mayangone,"469,Aung Myay Thar St.,Ward (2)",Yangon Region,Apparel
,Cho [Ma],Insein,"1038,Aung Theiddi St.,Phawh Kan Ward",Yangon Region,Apparel
 01527242 Ext.1092,DMK,Kamayut,"Rm C/005, G Flr, Junction Square,",Yangon Region,Apparel
" 01392031 Ext.208, 01392031 Ext.209",Essence,Botahtaung,"G Flr,Gamone Pwint Shopping Mall",Yangon Region,Apparel
 09976386366,Diana,Hlaing Thar Yar,"Bldg 15, Rm 5, Anawrahta Rd., Shwe Kantharyar Shop House,",Yangon Region,Apparel
 0943122555,Essence,Tarmwe,"2nd Flr, United Living Mall,",Yangon Region,Apparel
 095174424,Embody,Dagon,"Rm 3114, 2nd Flr, Taw Win Centre,",Yangon Region,Apparel
 01522640,Erke,Hlaing,"Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Yangon Region,Apparel
 09971081324,DD,Thaketa,"19, Aung Tha Pyay St., Corner of Aung Tha Pyay 3rd St.,Ward (7-East),",Yangon Region,Apparel
 09450035867,Duwun,Hlaing Thar Yar,"Bldg 1, Rm 2/A, Anawrahta Rd., Wah Wah Win Housing,",Yangon Region,Apparel
 09420087714,Ei Hnin Soe,Tarmwe,"28,164th St.,Tarmway Gyee (Kha) Ward",Yangon Region,Apparel
" 095506500, 0973226102",Ei Shwe Sin,Latha,"D Shed, Rm C/224, G Flr, Thein Gyi Market,",Yangon Region,Apparel
 09420245574,Ei Khaing [Ma],Dagon Seikkan,"124, Lashio St., Ward (90),",Yangon Region,Apparel
" 095410943, 09420011363",Duwun,Mingalar Taung Nyunt,"Rm 595, Yar Yee Mingalar Market,",Yangon Region,Apparel
" 01215873, 01214799, 01221706",Fujiko,Botahtaung,"G Flr,Gamone Pwint Shopping Mall",Yangon Region,Apparel
" 01215873, 01221706 [Office]","Fujiko,Meko,Sasaki [YHL Co.,Ltd.]",Hlaing,"Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Yangon Region,Apparel
" 0943027089, 09799822106",ECM,Insein,"14, Hlaing River Rd., Pauk Taw Ward,",Yangon Region,Apparel
" 01221706, 01252850, 01389499, 095108320, 095108325",Fujiko,Mayangone,"1st Flr, Gandamar Wholesales Center,",Yangon Region,Apparel
,For You,North Okkalapa ,"986/997/998,Waziyar 8th St.,Nga Ward",Yangon Region,Apparel
" 0973242912, 09776434456",Fashion Eye,Thingangyun,"Rm A-6/7, 4th Flr, AKK Shopping Mall,",Yangon Region,Apparel
" 01205672, 09402639050, 09254042341, 09798141819, 09252705160","Fly Soft Co.,Ltd.",Mingalar Taung Nyunt,"33, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
 09420254109,Fantastic,Hlaing,"13, Thiri Myaing St., Ward (13),",Yangon Region,Apparel
 095091170,Eureka,Pabedan,"320, Rm 9, Anawrahta Rd.,",Yangon Region,Apparel
" 095163249, 019699319, 09450321284","Eternal White Flower Way Co.,Ltd.",North Okkalapa ,"714, Thu Nandar 1st St., Za Gwel Ward,",Yangon Region,Apparel
" 09250662451, 0973234976",Family,Mayangone,"205, Baho Rd., Corner of Shwe Wah Tun St.,Ward (2),",Yangon Region,Apparel
" 01246503, 0973157078",Golden Dragon,Latha,"123, Shwe Dagon Pagoda Rd.,",Yangon Region,Apparel
" 09421098733, 01372638, 095123298",Golden Eagle,Pabedan,"377, Bo Soon Pat St., Upper Block,",Yangon Region,Apparel
" 09450002557, 09799763038",Golden Lion,Shwe Pyi Thar,"5/B, Bayint Naung Rd., Ward (10),",Yangon Region,Apparel
" 01374493, 01385297","G.D Co.,Ltd.",Kyauktada,"106/B, 3rd Flr, Seikkanthar St., Lower Middle Block,",Yangon Region,Apparel
" 01248188, 095136640",Golden Butterfly,Pabedan,"223, 29th St., Upper Block,",Yangon Region,Apparel
" 0973023495, 09421090927",Glory,Thingangyun,"Rm C-2/8, 3rd Flr, AKK Shopping Mall,",Yangon Region,Apparel
 09421166177,Golden Camel,Insein,"J/5, Mingalar St., Phawh Kan Ward,",Yangon Region,Apparel
 09783541460,Glory,Shwe Pyi Thar,"995/996, Zwe Kabin St., Ward (10),",Yangon Region,Apparel
" 01512610, 095083519",Golden Bird,Sanchaung,"42/A, Baho Rd., Aung Chan Thar Ward,",Yangon Region,Apparel
" 09400450151, 0943178710",Golden Clock,Shwe Pyi Thar,"283/B, Maha Bandoola St., Ward (9),",Yangon Region,Apparel
" 095113630, 0973207246",Happy Foot Wear,Mingalar Taung Nyunt,"Rm L-3/4, 2nd Flr, Yuzana Plaza,",Yangon Region,Apparel
 09450692484,Havaianas,Dagon,"Rm B/069, Underground, Taw Win Centre,",Yangon Region,Apparel
 09781952474,Gripz,Bahan,"7, Saya San Rd., Saya San Ward,",Yangon Region,Apparel
 0973164958,Green Dream,North Okkalapa ,"Khay Mar Thi Rd., Corner of May Darwi Rd., Za Myin Zwel Ward,",Yangon Region,Apparel
 095178319,Gooddy,Mingalar Taung Nyunt,"Rm 402, Shwe Mingalar Market, Car Pat Lan,",Yangon Region,Apparel
,Good Luck,North Okkalapa ,"Rm 5, Oak Zanar St., Co-op Shop Room, Ta Ta Lin Cheik Ward,",Yangon Region,Apparel
" 095178319, 09420005512, 09401620337",Gooddy,Mingalar Taung Nyunt,"Rm 551/584,2nd Flr,Mingalar Market",Yangon Region,Apparel
" 095046821, 09250514713",Govy Soft,Sanchaung,"56, Ma U Pin St., Kyun Taw (South) Ward,",Yangon Region,Apparel
" 0973152914, 095111782",Hai Min,Sanchaung,"10/B, Kyun Taw Rd., Kyun Taw (South) Ward,",Yangon Region,Apparel
 018100350,Golden Myint,South Dagon,"2729, Than Lwin St., Industrial Zone (2),",Yangon Region,Apparel
" 01650771~773 Ext.178, 01706872, 01522640",Heat Wave,Hlaing,"Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Yangon Region,Apparel
" 01652959~62 Ext.128, 09420015932",Heat Wave,Mayangone,"Rm 10, G Flr, North Point Shopping Centre,",Yangon Region,Apparel
" 01706872, 01516603~10 Ext.211",Heat Wave,Sanchaung,"Rm 11, 1st Flr, Dagon Centre II,",Yangon Region,Apparel
" 095063958, 0973019341, 0943027399",Hein,South Dagon,"1286/1287, Si Pin Rd., Corner of Myeik St.,Ward (24),",Yangon Region,Apparel
" 095055085, 012305103, 0931292959",Hein,Hlaing,"Bldg 6, Rm 9, Yangon-Insein Rd., Hlaing Yadanar Housing,",Yangon Region,Apparel
 09254057351,Hay Mar [Ma],Hlaing Thar Yar,"571/B, Min Yarzar St., Ward (20),",Yangon Region,Apparel
 01527242 Ext.1074,Havaians,Kamayut,"Rm B/013/015, G Flr, Junction Square,",Yangon Region,Apparel
 09963362171,Havaianas,Bahan,"Rm K-08, G Flr, Myanmar Plaza,",Yangon Region,Apparel
" 09261434425, 09799234830",Havianas [Creation Myanmar],Kamayut,"Hledan Centre,",Yangon Region,Apparel
" 01543085, 0943188782, 0930358633, 095166065, 09254115218",Haw Nan Thuzar May,Bahan,"178, U Chit Maung Rd., Corner of Saya San Rd.,Saya San (North-East) Ward,",Yangon Region,Apparel
,Hla Myintzu,Thingangyun,"205/Kha, Myittar St., Thut Waing Gyee Ward,",Yangon Region,Apparel
" 09254054206, 09421071303, 0973069804",Hla Hla Win [Daw],Mingalar Taung Nyunt,"Rm 617,3rd Flr,Mingalar Market",Yangon Region,Apparel
 0931060383,Hinthar,Sanchaung,"Rm A/33/34/38/40, Myay Ni Gone Plaza,",Yangon Region,Apparel
 09978085125,Hello,Hlaing,"Rm 1, Shwe Hinthar St., Rubber Factory Shop Room, Ward (11),",Yangon Region,Apparel
